Study_Hours,Exam_Score
4.06,73.98
9.53,98.52
7.45,86.69
6.19,79.43
1.98,52.52
1.98,56.31
1.05,52.96
8.73,98.93
6.21,82.77
7.23,77.32
0.7,55.1
9.71,96.65
8.41,88.66
2.52,65.64
2.23,66.29
2.24,65.87
3.39,62.76
5.49,75.88
4.6,74.67
3.27,71.21
6.31,79.17
1.83,58.2
3.28,60.85
3.98,63.92
4.83,78.23
7.96,96.58
2.4,61.62
5.39,81.94
6.13,82.45
0.94,51.48
6.27,83.17
2.12,68.29
1.12,55.41
9.51,105.4
9.67,85.27
8.18,95.01
3.39,67.4
1.43,55.64
7.0,85.46
4.68,63.47
1.66,57.2
5.2,77.81
0.83,61.52
9.14,93.1
2.96,60.75
6.79,81.46
3.46,71.88
5.44,78.85
5.69,75.82
2.26,63.85
